Sector,Local.authority,year,leave_join,Homes_or_places,value
Third Sector,STOCKPORT,2020,Net change,Places,4.0
For-profit,STOCKPORT,2014,Exits,Places,0.0
Third Sector,STOCKPORT,2020,Net change,Children's homes,1.0
For-profit,STOCKPORT,2014,Exits,Children's homes,1.0
For-profit,STOCKPORT,2017,Net change,Places,-5.0
For-profit,STOCKPORT,2019,Entries,Places,4.0
Local Authority,STOCKPORT,2018,Entries,Places,5.0
For-profit,STOCKPORT,2017,Net change,Children's homes,-2.0
For-profit,STOCKPORT,2019,Net change,Places,4.0
For-profit,STOCKPORT,2019,Net change,Children's homes,1.0
For-profit,STOCKPORT,2017,Exits,Places,5.0
For-profit,STOCKPORT,2022,Entries,Children's homes,2.0
For-profit,STOCKPORT,2018,Entries,Children's homes,1.0
For-profit,STOCKPORT,2018,Net change,Children's homes,1.0
For-profit,STOCKPORT,2022,Net change,Children's homes,2.0
Third Sector,STOCKPORT,2016,Exits,Children's homes,2.0
For-profit,STOCKPORT,2015,Exits,Places,0.0
Third Sector,STOCKPORT,2016,Exits,Places,8.0
Local Authority,STOCKPORT,2018,Net change,Children's homes,1.0
Third Sector,STOCKPORT,2020,Entries,Children's homes,1.0
Local Authority,STOCKPORT,2018,Net change,Places,5.0
For-profit,STOCKPORT,2022,Net change,Places,5.0
For-profit,STOCKPORT,2018,Net change,Places,2.0
For-profit,STOCKPORT,2015,Exits,Children's homes,1.0
For-profit,STOCKPORT,2019,Entries,Children's homes,1.0
For-profit,STOCKPORT,2017,Exits,Children's homes,2.0
For-profit,STOCKPORT,2018,Entries,Places,2.0
Local Authority,STOCKPORT,2018,Entries,Children's homes,1.0
Third Sector,STOCKPORT,2020,Entries,Places,4.0
For-profit,STOCKTON ON TEES,2017,Entries,Children's homes,1.0
For-profit,STOCKTON ON TEES,2022,Net change,Places,0.0
For-profit,STOCKTON ON TEES,2022,Entries,Children's homes,1.0
For-profit,STOCKTON ON TEES,2022,Net change,Children's homes,0.0
Local Authority,STOCKTON ON TEES,2020,Entries,Places,5.0
For-profit,STOCKTON ON TEES,2018,Net change,Children's homes,1.0
For-profit,STOCKTON ON TEES,2020,Entries,Places,6.0
For-profit,STOCKTON ON TEES,2020,Net change,Children's homes,2.0
Local Authority,STOCKTON ON TEES,2020,Net change,Children's homes,1.0
For-profit,STOCKTON ON TEES,2020,Net change,Places,6.0
For-profit,STOCKTON ON TEES,2022,Entries,Places,4.0
For-profit,STOCKTON ON TEES,2021,Exits,Places,15.0
Local Authority,STOCKTON ON TEES,2020,Net change,Places,5.0
For-profit,STOCKTON ON TEES,2018,Net change,Places,5.0
For-profit,STOCKTON ON TEES,2017,Entries,Places,3.0
For-profit,STOCKTON ON TEES,2021,Entries,Places,15.0
For-profit,STOCKTON ON TEES,2019,Entries,Places,11.0
For-profit,STOCKTON ON TEES,2022,Exits,Places,4.0
For-profit,STOCKTON ON TEES,2021,Net change,Places,0.0
Local Authority,STOCKTON ON TEES,2020,Entries,Children's homes,1.0
For-profit,STOCKTON ON TEES,2018,Entries,Children's homes,1.0
For-profit,STOCKTON ON TEES,2020,Entries,Children's homes,2.0
For-profit,STOCKTON ON TEES,2021,Exits,Children's homes,2.0
For-profit,STOCKTON ON TEES,2019,Entries,Children's homes,2.0
For-profit,STOCKTON ON TEES,2018,Entries,Places,5.0
For-profit,STOCKTON ON TEES,2022,Exits,Children's homes,1.0
For-profit,STOCKTON ON TEES,2019,Net change,Places,11.0
For-profit,STOCKTON ON TEES,2021,Net change,Children's homes,-1.0
For-profit,STOCKTON ON TEES,2017,Net change,Children's homes,1.0
For-profit,STOCKTON ON TEES,2019,Net change,Children's homes,2.0
For-profit,STOCKTON ON TEES,2021,Entries,Children's homes,1.0
For-profit,STOCKTON ON TEES,2017,Net change,Places,3.0
For-profit,STOKE ON TRENT,2023,Net change,Places,3.0
For-profit,STOKE ON TRENT,2017,Exits,Children's homes,2.0
For-profit,STOKE ON TRENT,2019,Net change,Children's homes,1.0
For-profit,STOKE ON TRENT,2019,Entries,Places,4.0
For-profit,STOKE ON TRENT,2022,Entries,Places,11.0
Local Authority,STOKE ON TRENT,2020,Exits,Children's homes,2.0
For-profit,STOKE ON TRENT,2021,Net change,Places,-2.0
For-profit,STOKE ON TRENT,2020,Entries,Children's homes,4.0
For-profit,STOKE ON TRENT,2021,Net change,Children's homes,-2.0
For-profit,STOKE ON TRENT,2023,Entries,Children's homes,1.0
For-profit,STOKE ON TRENT,2015,Exits,Children's homes,2.0
Local Authority,STOKE ON TRENT,2019,Net change,Places,2.0
For-profit,STOKE ON TRENT,2021,Exits,Children's homes,2.0
For-profit,STOKE ON TRENT,2019,Net change,Places,4.0
Local Authority,STOKE ON TRENT,2018,Net change,Places,4.0
For-profit,STOKE ON TRENT,2023,Net change,Children's homes,1.0
For-profit,STOKE ON TRENT,2019,Entries,Children's homes,1.0
Local Authority,STOKE ON TRENT,2017,Exits,Children's homes,2.0
Local Authority,STOKE ON TRENT,2019,Entries,Children's homes,1.0
Local Authority,STOKE ON TRENT,2018,Entries,Children's homes,2.0
For-profit,STOKE ON TRENT,2014,Exits,Places,0.0
Local Authority,STOKE ON TRENT,2019,Net change,Children's homes,1.0
For-profit,STOKE ON TRENT,2018,Exits,Children's homes,3.0
For-profit,STOKE ON TRENT,2018,Net change,Children's homes,-2.0
Local Authority,STOKE ON TRENT,2017,Entries,Children's homes,1.0
Local Authority,STOKE ON TRENT,2019,Entries,Places,2.0
For-profit,STOKE ON TRENT,2021,Exits,Places,2.0
Local Authority,STOKE ON TRENT,2018,Net change,Children's homes,2.0
For-profit,STOKE ON TRENT,2018,Net change,Places,-1.0
For-profit,STOKE ON TRENT,2018,Exits,Places,25.0
For-profit,STOKE ON TRENT,2023,Entries,Places,3.0
For-profit,STOKE ON TRENT,2014,Exits,Children's homes,1.0
For-profit,STOKE ON TRENT,2020,Entries,Places,19.0
For-profit,STOKE ON TRENT,2022,Net change,Places,11.0
For-profit,STOKE ON TRENT,2017,Exits,Places,3.0
Local Authority,STOKE ON TRENT,2020,Exits,Places,2.0
For-profit,STOKE ON TRENT,2020,Net change,Children's homes,4.0
Local Authority,STOKE ON TRENT,2020,Net change,Children's homes,-2.0
For-profit,STOKE ON TRENT,2020,Net change,Places,19.0
Local Authority,STOKE ON TRENT,2020,Net change,Places,-2.0
For-profit,STOKE ON TRENT,2017,Net change,Places,-3.0
Local Authority,STOKE ON TRENT,2017,Net change,Children's homes,-1.0
Local Authority,STOKE ON TRENT,2017,Net change,Places,0.0
For-profit,STOKE ON TRENT,2017,Net change,Children's homes,-2.0
For-profit,STOKE ON TRENT,2022,Entries,Children's homes,3.0
For-profit,STOKE ON TRENT,2018,Entries,Places,24.0
For-profit,STOKE ON TRENT,2022,Net change,Children's homes,3.0
Local Authority,STOKE ON TRENT,2018,Entries,Places,4.0
Local Authority,STOKE ON TRENT,2017,Entries,Places,2.0
For-profit,STOKE ON TRENT,2015,Exits,Places,0.0
For-profit,STOKE ON TRENT,2018,Entries,Children's homes,1.0
Local Authority,STOKE ON TRENT,2017,Exits,Places,2.0
For-profit,SUFFOLK,2021,Net change,Children's homes,3.0
Third Sector,SUFFOLK,2017,Net change,Places,-15.0
For-profit,SUFFOLK,2019,Entries,Children's homes,4.0
For-profit,SUFFOLK,2016,Entries,Children's homes,1.0
For-profit,SUFFOLK,2017,Entries,Children's homes,1.0
For-profit,SUFFOLK,2023,Net change,Children's homes,1.0
For-profit,SUFFOLK,2021,Entries,Children's homes,3.0
For-profit,SUFFOLK,2019,Net change,Places,15.0
For-profit,SUFFOLK,2019,Net change,Children's homes,4.0
For-profit,SUFFOLK,2021,Net change,Places,12.0
For-profit,SUFFOLK,2017,Net change,Places,2.0
For-profit,SUFFOLK,2020,Exits,Places,6.0
For-profit,SUFFOLK,2023,Net change,Places,5.0
Third Sector,SUFFOLK,2017,Net change,Children's homes,-3.0
For-profit,SUFFOLK,2017,Net change,Children's homes,-1.0
For-profit,SUFFOLK,2015,Exits,Places,0.0
For-profit,SUFFOLK,2014,Exits,Children's homes,1.0
Third Sector,SUFFOLK,2017,Exits,Places,15.0
For-profit,SUFFOLK,2016,Exits,Children's homes,1.0
For-profit,SUFFOLK,2018,Exits,Children's homes,1.0
For-profit,SUFFOLK,2023,Entries,Places,5.0
For-profit,SUFFOLK,2022,Exits,Children's homes,1.0
For-profit,SUFFOLK,2017,Exits,Places,4.0
For-profit,SUFFOLK,2016,Entries,Places,4.0
For-profit,SUFFOLK,2014,Exits,Places,0.0
For-profit,SUFFOLK,2018,Entries,Places,4.0
For-profit,SUFFOLK,2022,Exits,Places,5.0
Local Authority,SUFFOLK,2022,Entries,Places,1.0
For-profit,SUFFOLK,2020,Exits,Children's homes,2.0
For-profit,SUFFOLK,2023,Entries,Children's homes,1.0
For-profit,SUFFOLK,2022,Entries,Children's homes,3.0
For-profit,SUFFOLK,2020,Net change,Places,-6.0
For-profit,SUFFOLK,2019,Entries,Places,15.0
For-profit,SUFFOLK,2021,Entries,Places,12.0
For-profit,SUFFOLK,2020,Net change,Children's homes,-2.0
Local Authority,SUFFOLK,2022,Net change,Children's homes,1.0
For-profit,SUFFOLK,2016,Exits,Places,3.0
For-profit,SUFFOLK,2017,Exits,Children's homes,2.0
For-profit,SUFFOLK,2018,Net change,Places,-2.0
For-profit,SUFFOLK,2018,Net change,Children's homes,0.0
For-profit,SUFFOLK,2018,Exits,Places,6.0
For-profit,SUFFOLK,2015,Exits,Children's homes,2.0
For-profit,SUFFOLK,2022,Net change,Children's homes,2.0
For-profit,SUFFOLK,2022,Net change,Places,1.0
Local Authority,SUFFOLK,2022,Net change,Places,1.0
Third Sector,SUFFOLK,2017,Exits,Children's homes,3.0
For-profit,SUFFOLK,2022,Entries,Places,6.0
Local Authority,SUFFOLK,2022,Entries,Children's homes,1.0
For-profit,SUFFOLK,2017,Entries,Places,6.0
For-profit,SUFFOLK,2018,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2022,Entries,Places,4.0
Third Sector,SUNDERLAND,2021,Net change,Children's homes,1.0
Third Sector,SUNDERLAND,2014,Exits,Children's homes,1.0
For-profit,SUNDERLAND,2016,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2020,Net change,Places,3.0
Third Sector,SUNDERLAND,2022,Exits,Children's homes,2.0
For-profit,SUNDERLAND,2020,Entries,Places,14.0
Third Sector,SUNDERLAND,2020,Entries,Children's homes,1.0
For-profit,SUNDERLAND,2020,Net change,Places,14.0
Third Sector,SUNDERLAND,2022,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2020,Net change,Children's homes,1.0
Third Sector,SUNDERLAND,2019,Entries,Places,8.0
For-profit,SUNDERLAND,2020,Net change,Children's homes,4.0
Third Sector,SUNDERLAND,2022,Exits,Places,4.0
For-profit,SUNDERLAND,2019,Entries,Places,3.0
For-profit,SUNDERLAND,2016,Entries,Places,8.0
Third Sector,SUNDERLAND,2020,Entries,Places,3.0
Third Sector,SUNDERLAND,2014,Exits,Places,0.0
For-profit,SUNDERLAND,2019,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2019,Entries,Children's homes,1.0
For-profit,SUNDERLAND,2020,Entries,Children's homes,4.0
Third Sector,SUNDERLAND,2021,Net change,Places,3.0
Third Sector,SUNDERLAND,2019,Net change,Children's homes,1.0
For-profit,SUNDERLAND,2019,Net change,Places,3.0
For-profit,SUNDERLAND,2017,Net change,Places,31.0
Local Authority,SUNDERLAND,2017,Net change,Places,-31.0
Third Sector,SUNDERLAND,2018,Exits,Places,7.0
Third Sector,SUNDERLAND,2018,Exits,Children's homes,1.0
For-profit,SUNDERLAND,2018,Entries,Places,7.0
Local Authority,SUNDERLAND,2017,Exits,Children's homes,10.0
Third Sector,SUNDERLAND,2021,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2017,Net change,Children's homes,-2.0
Third Sector,SUNDERLAND,2021,Entries,Places,3.0
For-profit,SUNDERLAND,2017,Entries,Children's homes,5.0
For-profit,SUNDERLAND,2018,Net change,Places,7.0
Third Sector,SUNDERLAND,2017,Net change,Places,-4.0
For-profit,SUNDERLAND,2018,Entries,Children's homes,1.0
Third Sector,SUNDERLAND,2018,Net change,Children's homes,-1.0
For-profit,SUNDERLAND,2018,Net change,Children's homes,1.0
For-profit,SUNDERLAND,2017,Entries,Places,31.0
Third Sector,SUNDERLAND,2018,Net change,Places,-7.0
Local Authority,SUNDERLAND,2017,Net change,Children's homes,-10.0
Third Sector,SUNDERLAND,2017,Exits,Children's homes,2.0
Local Authority,SUNDERLAND,2017,Exits,Places,31.0
Third Sector,SUNDERLAND,2019,Net change,Places,8.0
For-profit,SUNDERLAND,2017,Net change,Children's homes,5.0
Third Sector,SUNDERLAND,2022,Net change,Places,0.0
Third Sector,SUNDERLAND,2022,Net change,Children's homes,-1.0
For-profit,SUNDERLAND,2019,Net change,Children's homes,1.0
Third Sector,SUNDERLAND,2017,Exits,Places,4.0
For-profit,SURREY,2022,Net change,Places,5.0
Third Sector,SURREY,2020,Net change,Children's homes,0.0
Local Authority,SURREY,2016,Entries,Places,2.0
Third Sector,SURREY,2020,Exits,Children's homes,2.0
Local Authority,SURREY,2022,Net change,Places,-14.0
For-profit,SURREY,2022,Entries,Children's homes,1.0
Local Authority,SURREY,2022,Net change,Children's homes,-3.0
For-profit,SURREY,2021,Exits,Children's homes,4.0
For-profit,SURREY,2021,Entries,Places,17.0
For-profit,SURREY,2020,Exits,Children's homes,1.0
Third Sector,SURREY,2018,Net change,Children's homes,-1.0
For-profit,SURREY,2020,Entries,Children's homes,1.0
Third Sector,SURREY,2018,Net change,Places,0.0
For-profit,SURREY,2015,Exits,Children's homes,1.0
For-profit,SURREY,2020,Net change,Children's homes,0.0
Local Authority,SURREY,2022,Exits,Children's homes,3.0
For-profit,SURREY,2022,Net change,Children's homes,1.0
Third Sector,SURREY,2018,Entries,Places,40.0
Local Authority,SURREY,2022,Exits,Places,14.0
For-profit,SURREY,2022,Entries,Places,5.0
Third Sector,SURREY,2020,Entries,Children's homes,2.0
Local Authority,SURREY,2016,Entries,Children's homes,1.0
Third Sector,SURREY,2018,Exits,Places,40.0
Local Authority,SURREY,2017,Net change,Places,5.0
Third Sector,SURREY,2020,Exits,Places,60.0
For-profit,SURREY,2021,Exits,Places,129.0
For-profit,SURREY,2020,Entries,Places,4.0
Third Sector,SURREY,2020,Entries,Places,14.0
Local Authority,SURREY,2019,Exits,Places,7.0
For-profit,SURREY,2017,Entries,Places,11.0
For-profit,SURREY,2020,Exits,Places,5.0
Third Sector,SURREY,2018,Entries,Children's homes,1.0
Local Authority,SURREY,2017,Entries,Places,5.0
For-profit,SURREY,2021,Net change,Places,-112.0
For-profit,SURREY,2021,Net change,Children's homes,0.0
Local Authority,SURREY,2019,Net change,Places,-7.0
For-profit,SURREY,2019,Net change,Places,-5.0
Local Authority,SURREY,2019,Net change,Children's homes,-2.0
For-profit,SURREY,2019,Net change,Children's homes,-2.0
For-profit,SURREY,2015,Exits,Places,0.0
For-profit,SURREY,2019,Exits,Children's homes,2.0
For-profit,SURREY,2020,Net change,Places,-1.0
For-profit,SURREY,2017,Net change,Places,11.0
Local Authority,SURREY,2019,Exits,Children's homes,2.0
Third Sector,SURREY,2020,Net change,Places,-46.0
For-profit,SURREY,2021,Entries,Children's homes,4.0
Local Authority,SURREY,2017,Entries,Children's homes,1.0
For-profit,SURREY,2017,Entries,Children's homes,2.0
For-profit,SURREY,2017,Net change,Children's homes,2.0
Local Authority,SURREY,2017,Net change,Children's homes,1.0
Third Sector,SURREY,2018,Exits,Children's homes,2.0
For-profit,SURREY,2019,Exits,Places,5.0
Local Authority,SUTTON,2020,Net change,Children's homes,1.0
Local Authority,SUTTON,2020,Net change,Places,1.0
For-profit,SUTTON,2022,Entries,Children's homes,1.0
For-profit,SUTTON,2022,Net change,Children's homes,1.0
For-profit,SUTTON,2022,Net change,Places,8.0
For-profit,SUTTON,2022,Entries,Places,8.0
For-profit,SUTTON,2016,Exits,Places,6.0
Local Authority,SUTTON,2020,Entries,Children's homes,1.0
Local Authority,SUTTON,2020,Entries,Places,1.0
For-profit,SUTTON,2016,Exits,Children's homes,2.0
For-profit,SWINDON,2015,Exits,Children's homes,1.0
For-profit,SWINDON,2020,Entries,Places,3.0
For-profit,SWINDON,2020,Net change,Children's homes,1.0
For-profit,SWINDON,2022,Entries,Children's homes,1.0
For-profit,SWINDON,2020,Net change,Places,3.0
For-profit,SWINDON,2015,Exits,Places,0.0
For-profit,SWINDON,2022,Net change,Places,4.0
For-profit,SWINDON,2020,Entries,Children's homes,1.0
For-profit,SWINDON,2021,Net change,Children's homes,2.0
For-profit,SWINDON,2021,Net change,Places,7.0
For-profit,SWINDON,2021,Entries,Children's homes,2.0
For-profit,SWINDON,2022,Entries,Places,4.0
For-profit,SWINDON,2014,Exits,Children's homes,1.0
For-profit,SWINDON,2021,Entries,Places,7.0
For-profit,SWINDON,2014,Exits,Places,0.0
For-profit,SWINDON,2022,Net change,Children's homes,1.0
For-profit,TAMESIDE,2018,Net change,Children's homes,-2.0
For-profit,TAMESIDE,2021,Entries,Places,11.0
Local Authority,TAMESIDE,2017,Exits,Children's homes,2.0
For-profit,TAMESIDE,2014,Exits,Places,0.0
For-profit,TAMESIDE,2018,Exits,Children's homes,2.0
For-profit,TAMESIDE,2023,Net change,Places,5.0
For-profit,TAMESIDE,2014,Exits,Children's homes,2.0
For-profit,TAMESIDE,2017,Entries,Places,4.0
For-profit,TAMESIDE,2019,Net change,Places,7.0
Local Authority,TAMESIDE,2017,Entries,Places,6.0
For-profit,TAMESIDE,2019,Net change,Children's homes,2.0
For-profit,TAMESIDE,2021,Net change,Places,11.0
For-profit,TAMESIDE,2021,Net change,Children's homes,3.0
For-profit,TAMESIDE,2020,Exits,Places,9.0
Local Authority,TAMESIDE,2017,Exits,Places,5.0
For-profit,TAMESIDE,2020,Entries,Places,4.0
For-profit,TAMESIDE,2020,Entries,Children's homes,1.0
Third Sector,TAMESIDE,2015,Exits,Children's homes,1.0
For-profit,TAMESIDE,2017,Entries,Children's homes,1.0
For-profit,TAMESIDE,2023,Net change,Children's homes,1.0
For-profit,TAMESIDE,2020,Exits,Children's homes,2.0
For-profit,TAMESIDE,2023,Entries,Children's homes,1.0
Local Authority,TAMESIDE,2017,Net change,Children's homes,0.0
For-profit,TAMESIDE,2017,Net change,Places,4.0
Local Authority,TAMESIDE,2017,Net change,Places,1.0
For-profit,TAMESIDE,2019,Entries,Places,7.0
For-profit,TAMESIDE,2018,Exits,Places,6.0
For-profit,TAMESIDE,2018,Net change,Places,-6.0
For-profit,TAMESIDE,2017,Net change,Children's homes,1.0
Third Sector,TAMESIDE,2015,Exits,Places,0.0
Local Authority,TAMESIDE,2017,Entries,Children's homes,2.0
For-profit,TAMESIDE,2021,Entries,Children's homes,3.0
For-profit,TAMESIDE,2020,Net change,Children's homes,-1.0
For-profit,TAMESIDE,2020,Net change,Places,-5.0
For-profit,TAMESIDE,2019,Entries,Children's homes,2.0
For-profit,TAMESIDE,2023,Entries,Places,5.0
For-profit,TELFORD AND WREKIN,2023,Entries,Places,3.0
For-profit,TELFORD AND WREKIN,2023,Net change,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2022,Entries,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2022,Entries,Places,1.0
For-profit,TELFORD AND WREKIN,2022,Exits,Places,3.0
For-profit,TELFORD AND WREKIN,2023,Net change,Places,3.0
For-profit,TELFORD AND WREKIN,2022,Exits,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2023,Entries,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2019,Exits,Children's homes,3.0
For-profit,TELFORD AND WREKIN,2018,Entries,Places,4.0
For-profit,TELFORD AND WREKIN,2020,Exits,Children's homes,4.0
For-profit,TELFORD AND WREKIN,2020,Entries,Children's homes,2.0
For-profit,TELFORD AND WREKIN,2018,Net change,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2018,Net change,Places,4.0
For-profit,TELFORD AND WREKIN,2015,Exits,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2021,Net change,Places,1.0
Third Sector,TELFORD AND WREKIN,2016,Exits,Places,5.0
For-profit,TELFORD AND WREKIN,2021,Net change,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2019,Entries,Places,3.0
For-profit,TELFORD AND WREKIN,2017,Entries,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2016,Exits,Places,7.0
Third Sector,TELFORD AND WREKIN,2016,Exits,Children's homes,2.0
For-profit,TELFORD AND WREKIN,2019,Entries,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2017,Exits,Places,7.0
For-profit,TELFORD AND WREKIN,2019,Exits,Places,5.0
For-profit,TELFORD AND WREKIN,2021,Entries,Children's homes,2.0
For-profit,TELFORD AND WREKIN,2017,Exits,Children's homes,5.0
For-profit,TELFORD AND WREKIN,2019,Net change,Places,-2.0
For-profit,TELFORD AND WREKIN,2022,Net change,Children's homes,0.0
For-profit,TELFORD AND WREKIN,2017,Entries,Places,4.0
For-profit,TELFORD AND WREKIN,2016,Entries,Places,11.0
For-profit,TELFORD AND WREKIN,2021,Entries,Places,4.0
For-profit,TELFORD AND WREKIN,2017,Net change,Places,-3.0
For-profit,TELFORD AND WREKIN,2019,Net change,Children's homes,-2.0
For-profit,TELFORD AND WREKIN,2017,Net change,Children's homes,-4.0
For-profit,TELFORD AND WREKIN,2016,Exits,Children's homes,4.0
For-profit,TELFORD AND WREKIN,2021,Exits,Places,3.0
For-profit,TELFORD AND WREKIN,2015,Exits,Places,0.0
For-profit,TELFORD AND WREKIN,2018,Entries,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2022,Net change,Places,-2.0
For-profit,TELFORD AND WREKIN,2020,Entries,Places,5.0
For-profit,TELFORD AND WREKIN,2020,Exits,Places,5.0
For-profit,TELFORD AND WREKIN,2021,Exits,Children's homes,1.0
For-profit,TELFORD AND WREKIN,2020,Net change,Children's homes,-2.0
For-profit,TELFORD AND WREKIN,2016,Entries,Children's homes,3.0
For-profit,TELFORD AND WREKIN,2020,Net change,Places,0.0
For-profit,THURROCK,2021,Net change,Places,4.0
For-profit,THURROCK,2019,Net change,Children's homes,1.0
For-profit,THURROCK,2019,Net change,Places,2.0
For-profit,THURROCK,2019,Entries,Children's homes,1.0
For-profit,THURROCK,2021,Entries,Children's homes,1.0
For-profit,THURROCK,2021,Entries,Places,4.0
For-profit,THURROCK,2022,Net change,Children's homes,2.0
For-profit,THURROCK,2022,Entries,Children's homes,2.0
For-profit,THURROCK,2019,Entries,Places,2.0
For-profit,THURROCK,2022,Entries,Places,4.0
For-profit,THURROCK,2022,Net change,Places,4.0
For-profit,THURROCK,2021,Net change,Children's homes,1.0
For-profit,TORBAY,2020,Entries,Children's homes,1.0
For-profit,TORBAY,2020,Net change,Children's homes,1.0
For-profit,TORBAY,2020,Net change,Places,2.0
For-profit,TORBAY,2020,Entries,Places,2.0
For-profit,TORBAY,2019,Entries,Places,3.0
For-profit,TORBAY,2016,Exits,Children's homes,1.0
For-profit,TORBAY,2019,Net change,Places,3.0
For-profit,TORBAY,2016,Exits,Places,3.0
For-profit,TORBAY,2019,Net change,Children's homes,1.0
For-profit,TORBAY,2019,Entries,Children's homes,1.0
Local Authority,TOWER HAMLETS,2018,Net change,Children's homes,-2.0
For-profit,TOWER HAMLETS,2022,Entries,Places,7.0
For-profit,TOWER HAMLETS,2022,Entries,Children's homes,2.0
Third Sector,TOWER HAMLETS,2021,Entries,Children's homes,1.0
For-profit,TOWER HAMLETS,2021,Net change,Children's homes,-2.0
Third Sector,TOWER HAMLETS,2021,Entries,Places,5.0
For-profit,TOWER HAMLETS,2022,Net change,Places,7.0
For-profit,TOWER HAMLETS,2022,Net change,Children's homes,2.0
Local Authority,TOWER HAMLETS,2015,Exits,Children's homes,1.0
For-profit,TOWER HAMLETS,2021,Exits,Children's homes,2.0
Local Authority,TOWER HAMLETS,2018,Exits,Children's homes,2.0
Third Sector,TOWER HAMLETS,2021,Net change,Places,5.0
Local Authority,TOWER HAMLETS,2015,Exits,Places,0.0
For-profit,TOWER HAMLETS,2021,Net change,Places,-5.0
Third Sector,TOWER HAMLETS,2021,Net change,Children's homes,1.0
Local Authority,TOWER HAMLETS,2018,Net change,Places,-6.0
For-profit,TOWER HAMLETS,2021,Exits,Places,5.0
Local Authority,TOWER HAMLETS,2018,Exits,Places,6.0
For-profit,TRAFFORD,2019,Net change,Children's homes,1.0
For-profit,TRAFFORD,2022,Net change,Places,3.0
For-profit,TRAFFORD,2022,Net change,Children's homes,1.0
For-profit,TRAFFORD,2017,Net change,Places,-8.0
For-profit,TRAFFORD,2019,Net change,Places,5.0
For-profit,TRAFFORD,2017,Exits,Children's homes,2.0
For-profit,TRAFFORD,2017,Net change,Children's homes,-2.0
Local Authority,TRAFFORD,2016,Exits,Places,2.0
For-profit,TRAFFORD,2017,Exits,Places,8.0
For-profit,TRAFFORD,2019,Entries,Children's homes,1.0
For-profit,TRAFFORD,2022,Entries,Children's homes,1.0
For-profit,TRAFFORD,2019,Entries,Places,5.0
For-profit,TRAFFORD,2022,Entries,Places,3.0
Local Authority,TRAFFORD,2016,Exits,Children's homes,2.0
For-profit,WAKEFIELD,2019,Entries,Children's homes,4.0
For-profit,WAKEFIELD,2020,Entries,Places,3.0
For-profit,WAKEFIELD,2018,Entries,Places,18.0
For-profit,WAKEFIELD,2018,Entries,Children's homes,4.0
For-profit,WAKEFIELD,2018,Net change,Places,16.0
For-profit,WAKEFIELD,2019,Exits,Children's homes,2.0
For-profit,WAKEFIELD,2022,Net change,Children's homes,-2.0
Local Authority,WAKEFIELD,2022,Net change,Children's homes,-1.0
For-profit,WAKEFIELD,2022,Net change,Places,-2.0
Local Authority,WAKEFIELD,2022,Net change,Places,-7.0
For-profit,WAKEFIELD,2018,Net change,Children's homes,2.0
Local Authority,WAKEFIELD,2022,Entries,Children's homes,2.0
Local Authority,WAKEFIELD,2023,Exits,Places,11.0
Local Authority,WAKEFIELD,2022,Exits,Children's homes,3.0
For-profit,WAKEFIELD,2019,Net change,Places,17.0
Local Authority,WAKEFIELD,2023,Exits,Children's homes,3.0
For-profit,WAKEFIELD,2022,Exits,Places,2.0
Local Authority,WAKEFIELD,2019,Net change,Places,4.0
Local Authority,WAKEFIELD,2019,Entries,Places,4.0
For-profit,WAKEFIELD,2018,Exits,Children's homes,2.0
For-profit,WAKEFIELD,2019,Exits,Places,3.0
For-profit,WAKEFIELD,2019,Entries,Places,20.0
Local Authority,WAKEFIELD,2022,Entries,Places,4.0
For-profit,WAKEFIELD,2022,Exits,Children's homes,2.0
For-profit,WAKEFIELD,2020,Entries,Children's homes,1.0
Local Authority,WAKEFIELD,2023,Net change,Children's homes,-1.0
Local Authority,WAKEFIELD,2023,Net change,Places,-7.0
Local Authority,WAKEFIELD,2022,Exits,Places,11.0
For-profit,WAKEFIELD,2018,Exits,Places,2.0
Local Authority,WAKEFIELD,2019,Entries,Children's homes,2.0
For-profit,WAKEFIELD,2020,Net change,Places,3.0
For-profit,WAKEFIELD,2020,Net change,Children's homes,1.0
For-profit,WAKEFIELD,2019,Net change,Children's homes,2.0
Local Authority,WAKEFIELD,2023,Entries,Children's homes,2.0
Local Authority,WAKEFIELD,2019,Net change,Children's homes,2.0
Local Authority,WAKEFIELD,2023,Entries,Places,4.0
For-profit,WALSALL,2022,Exits,Places,3.0
For-profit,WALSALL,2016,Entries,Places,5.0
Third Sector,WALSALL,2019,Entries,Places,4.0
For-profit,WALSALL,2022,Entries,Places,10.0
Third Sector,WALSALL,2019,Net change,Places,4.0
Third Sector,WALSALL,2019,Entries,Children's homes,1.0
